n_threads;throughput;latency;customer_share;success_rate
1;59,538648;16795,813125;0,598500;1,000000
1;59,171776;16899,949105;0,615500;1,000000
1;70,065177;14272,425285;0,590000;1,000000
1;74,656555;13394,671025;0,609500;1,000000
1;67,726498;14765,269635;0,608500;1,000000
2;110,880559;18038,420405;0,601750;1,000000
2;145,691823;13727,767773;0,602500;0,999750
2;136,607587;14640,538820;0,589000;1,000000
2;136,823562;14618,287865;0,602750;1,000000
2;147,057264;13602,384207;0,596500;0,999750
5;286,003210;17482,666074;0,605500;1,000000
5;264,444862;18908,234823;0,601100;0,999900
5;282,391354;17706,475532;0,600000;1,000000
5;284,184489;17595,662708;0,606000;1,000000
5;278,586248;17950,482326;0,595100;0,999800
10;335,088265;29846,522349;0,602750;0,999950
10;349,288641;28633,894737;0,597500;1,000000
10;305,072275;32784,420106;0,598500;1,000000
10;330,327112;30281,157641;0,598650;1,000000
10;415,109709;24091,519460;0,602100;1,000000
20;349,519056;57233,506961;0,599075;1,000000
20;416,514320;48027,603808;0,602625;1,000000
20;380,778199;52533,954209;0,601075;1,000000
20;363,728399;54997,566214;0,603075;1,000000
20;417,611223;47903,499294;0,601225;1,000000
50;412,402453;121267,828951;0,599150;1,000000
50;359,139839;139248,000473;0,600300;1,000000
50;314,334279;159081,413623;0,601590;1,000000
50;394,871542;126650,031218;0,597410;1,000000
50;373,587436;133867,573827;0,602900;1,000000
100;330,664110;302463,230922;0,597845;1,000000
100;347,114973;288169,742885;0,599770;1,000000
100;366,493744;272962,647581;0,601575;0,999975
100;337,309464;296533,890985;0,599330;1,000000
100;351,914774;284240,114577;0,599580;1,000000
200;427,360230;468093,082075;0,600950;1,000000
200;331,696566;603101,398319;0,600435;0,999910
200;333,650987;599571,893636;0,601288;0,999973
200;335,160003;596814,414294;0,599505;1,000000
200;448,750834;445773,726081;0,600055;1,000000
500;365,137375;1369613,756875;0,600777;1,000000
500;381,702978;1310114,172513;0,599537;1,000000
500;372,250953;1343318,024568;0,600685;1,000000
500;395,875267;1263327,115927;0,598920;1,000000
500;365,027770;1370011,700375;0,599721;1,000000
1000;419,546281;2383885,236496;0,599704;1,000000
1000;423,158041;2363297,273305;0,600068;1,000000
1000;439,097037;2277522,130861;0,600374;1,000000
1000;403,452441;2478991,555395;0,600338;1,000000
1000;464,390388;2153465,124458;0,599620;1,000000
