n_threads;throughput;latency;customer_share;success_rate
1;3041,254218;328,811710;0,591500;1,000000
1;2924,052317;341,991145;0,618000;1,000000
1;2674,352685;373,922260;0,603000;1,000000
1;2598,287399;384,868895;0,591000;1,000000
1;2886,602408;346,428035;0,608500;1,000000
2;4135,104850;483,671728;0,595750;1,000000
2;4972,951486;402,183078;0,605500;1,000000
2;4216,026596;474,410235;0,597500;1,000000
2;4298,605275;465,303988;0,600500;0,999750
2;4164,347433;480,285358;0,598000;1,000000
5;5960,534873;839,114409;0,599200;1,000000
5;6048,200889;826,750302;0,600900;1,000000
5;5416,597144;924,436484;0,607900;0,999900
5;6322,064899;792,241269;0,602200;1,000000
5;6896,834856;725,731038;0,594400;0,999900
10;7524,939866;1330,588936;0,604150;1,000000
10;8985,502338;1115,597730;0,599150;1,000000
10;8794,833262;1137,545673;0,599250;1,000000
10;8924,864927;1123,149115;0,604450;1,000000
10;7641,626732;1310,816852;0,601600;1,000000
20;10510,570634;1904,795545;0,595025;1,000000
20;11625,345556;1721,533681;0,602750;1,000000
20;13526,118460;1480,040686;0,594200;1,000000
20;12912,475105;1550,654563;0,598100;1,000000
20;12812,423299;1575,052973;0,597450;1,000000
50;16614,978849;3022,569350;0,600080;1,000000
50;17789,994339;2815,093559;0,598910;1,000000
50;17151,579993;2925,159399;0,598370;1,000000
50;17993,968171;2781,327774;0,598180;1,000000
50;18638,608687;2686,843566;0,597520;1,000000
100;20289,593171;4934,577871;0,598745;1,000000
100;21086,904794;4750,111464;0,601215;1,000000
100;20768,470634;4821,884404;0,598890;1,000000
100;20707,788766;4837,525908;0,600170;1,000000
100;21040,830432;4760,751303;0,600155;1,000000
200;22361,121616;8966,400412;0,600705;1,000000
200;22628,480112;8853,353485;0,599605;1,000000
200;22064,142398;9078,034385;0,600235;1,000000
200;22249,772377;9006,626258;0,598870;1,000000
200;22099,481784;9072,129576;0,601640;1,000000
500;23397,020858;21426,458131;0,599686;1,000000
500;24333,780188;20608,794019;0,599245;1,000000
500;22372,840913;22422,601434;0,599728;1,000000
500;23358,409884;21484,230331;0,600032;1,000000
500;24275,075765;20679,671156;0,600499;1,000000
1000;22305,018500;45297,501656;0,599919;1,000000
1000;22810,787253;44235,394001;0,600356;1,000000
1000;22672,180327;44574,933981;0,600382;1,000000
1000;23066,108111;43769,671861;0,599579;1,000000
1000;23163,797083;43511,468314;0,599651;1,000000
